Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
11-Dec,LaLiga,11,H,FC Barcelona,RCD Mallorca,CF,13,13,Penalty,
11-Dec,LaLiga,11,H,FC Barcelona,RCD Mallorca,CF,21,21,Right-footed shot,Adriano
11-Dec,LaLiga,11,H,FC Barcelona,RCD Mallorca,CF,30,30,Left-footed shot,Dani Alves
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,FC Viktoria Plzen,CF,24,24,Penalty,
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,FC Viktoria Plzen,CF,45+2,45+2,Left-footed shot,Adriano
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,FC Viktoria Plzen,CF,90+2,90+2,Left-footed shot,Gerard Pique
11-Dec,LaLiga,12,A,FC Barcelona,Athletic Bilbao,CF,90,90,Left-footed shot,
11-Dec,LaLiga,13,H,FC Barcelona,Real Zaragoza,CF,43,43,Right-footed shot,Cesc Fabregas
11-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,AC Milan,SS,31,31,Penalty,
11-Dec,LaLiga,17,H,FC Barcelona,Rayo Vallecano,CF,49,49,Left-footed shot,Dani Alves
11-Dec,LaLiga,15,H,FC Barcelona,Levante UD,CF,55,55,Left-footed shot,Dani Alves
11-Dec,FIFA Club World Cup,Final,A,FC Barcelona,Santos FC,RW,17,17,Left-footed shot,Xavi
11-Dec,FIFA Club World Cup,Final,A,FC Barcelona,Santos FC,RW,82,82,Left-footed shot,Dani Alves
11-Dec,Copa del Rey,last 16,H,FC Barcelona,CA Osasuna,CF,71,71,Header,Cesc Fabregas
11-Dec,Copa del Rey,last 16,H,FC Barcelona,CA Osasuna,CF,90,90,Left-footed shot,Xavi
11-Dec,LaLiga,19,H,FC Barcelona,Real Betis Balompie,CF,12,12,Right-footed shot,Alexis Sanchez
11-Dec,LaLiga,19,H,FC Barcelona,Real Betis Balompie,CF,86,86,Penalty,
11-Dec,LaLiga,1,A,FC Barcelona,Malaga CF,CF,32,32,Header,Adriano
11-Dec,LaLiga,1,A,FC Barcelona,Malaga CF,CF,51,51,Left-footed shot,Thiago
11-Dec,LaLiga,1,A,FC Barcelona,Malaga CF,CF,77,77,Left-footed shot,Pedro
11-Dec,LaLiga,22,H,FC Barcelona,Real Sociedad,CF,72,72,Left-footed shot,Dani Alves
11-Dec,UEFA Champions League,last 16,A,FC Barcelona,Bayer 04 Leverkusen,CF,88,88,Left-footed shot,Dani Alves
11-Dec,LaLiga,24,H,FC Barcelona,Valencia CF,CF,21,21,Left-footed shot,
11-Dec,LaLiga,24,H,FC Barcelona,Valencia CF,CF,27,27,Tap-in,
11-Dec,LaLiga,24,H,FC Barcelona,Valencia CF,CF,75,75,Left-footed shot,Cristian Tello
11-Dec,LaLiga,24,H,FC Barcelona,Valencia CF,CF,84,84,Left-footed shot,Sergio Busquets
11-Dec,LaLiga,25,A,FC Barcelona,Atletico de Madrid,CF,79,79,Direct free kick,
11-Dec,UEFA Champions League,last 16,H,FC Barcelona,Bayer 04 Leverkusen,CF,25,25,Left-footed shot,Xavi
11-Dec,UEFA Champions League,last 16,H,FC Barcelona,Bayer 04 Leverkusen,CF,42,42,Left-footed shot,Andres Iniesta
11-Dec,UEFA Champions League,last 16,H,FC Barcelona,Bayer 04 Leverkusen,CF,50,50,Right-footed shot,Cesc Fabregas
11-Dec,UEFA Champions League,last 16,H,FC Barcelona,Bayer 04 Leverkusen,CF,58,58,Left-footed shot,
11-Dec,UEFA Champions League,last 16,H,FC Barcelona,Bayer 04 Leverkusen,CF,85,85,Left-footed shot,Seydou Keita
11-Dec,LaLiga,27,A,FC Barcelona,Racing Santander,CF,28,28,Left-footed shot,Cesc Fabregas
11-Dec,LaLiga,27,A,FC Barcelona,Racing Santander,CF,55,55,Penalty,
11-Dec,LaLiga,28,A,FC Barcelona,Sevilla FC,CF,25,25,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,29,H,FC Barcelona,Granada CF,CF,16,16,Left-footed shot,Isaac Cuenca
11-Dec,LaLiga,29,H,FC Barcelona,Granada CF,CF,66,66,Left-footed shot,Dani Alves
11-Dec,LaLiga,29,H,FC Barcelona,Granada CF,CF,85,85,Left-footed shot,Dani Alves
11-Dec,LaLiga,30,A,FC Barcelona,RCD Mallorca,CF,25,25,Direct free kick,
11-Dec,LaLiga,31,H,FC Barcelona,Athletic Bilbao,CF,57,57,Penalty,
11-Dec,UEFA Champions League,Quarter-Finals,H,FC Barcelona,AC Milan,RW,11,11,Penalty,
11-Dec,UEFA Champions League,Quarter-Finals,H,FC Barcelona,AC Milan,RW,42,42,Penalty,
11-Dec,LaLiga,32,A,FC Barcelona,Real Zaragoza,CF,39,39,Left-footed shot,Alexis Sanchez
11-Dec,LaLiga,32,A,FC Barcelona,Real Zaragoza,CF,86,86,Penalty,
11-Dec,LaLiga,33,H,FC Barcelona,Getafe CF,CF,44,44,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,34,A,FC Barcelona,Levante UD,CF,64,64,Left-footed shot,Alexis Sanchez
11-Dec,LaLiga,34,A,FC Barcelona,Levante UD,CF,73,73,Penalty,
11-Dec,LaLiga,36,A,FC Barcelona,Rayo Vallecano,CF,16,16,Left-footed shot,Pedro
11-Dec,LaLiga,36,A,FC Barcelona,Rayo Vallecano,CF,88,88,Left-footed shot,Pedro
11-Dec,LaLiga,20,H,FC Barcelona,Malaga CF,CF,34,34,Penalty,
11-Dec,LaLiga,20,H,FC Barcelona,Malaga CF,CF,60,60,Penalty,
11-Dec,LaLiga,20,H,FC Barcelona,Malaga CF,CF,63,63,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,CF,11,11,Direct free kick,
